Event name,Event location,Event start date,Event start time,Event timezone,Tickets sold,Paid tickets sold,Complimentary tickets sold,Add-ons sold,Currency,Gross sales,Eventbrite service fee,Eventbrite payment processing fee,Eventbrite tax,Organizer tax,Royalty,Ticket revenue,Add-ons revenue,Ticket + add-ons revenue,Net sales
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-11-25,12:00:00,America/New_York,2,0,2,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-11-28,18:00:00,America/New_York,6,0,6,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-12-02,12:00:00,America/New_York,5,0,5,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-12-05,18:00:00,America/New_York,11,0,11,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-12-09,12:00:00,America/New_York,19,0,19,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-12-12,18:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-12-16,12:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-12-19,18:00:00,America/New_York,4,0,4,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-12-23,12:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-12-26,18:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-12-30,12:00:00,America/New_York,14,0,14,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-01-02,18:00:00,America/New_York,8,0,8,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-01-06,12:00:00,America/New_York,18,0,18,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-01-09,18:00:00,America/New_York,8,0,8,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-01-13,12:00:00,America/New_York,28,0,28,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-01-16,18:00:00,America/New_York,7,0,7,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-01-20,12:00:00,America/New_York,20,0,20,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-01-23,18:00:00,America/New_York,16,0,16,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-01-27,12:00:00,America/New_York,26,0,26,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-01-30,18:00:00,America/New_York,23,0,23,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-02-03,12:00:00,America/New_York,22,0,22,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-02-06,18:00:00,America/New_York,14,0,14,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-02-10,12:00:00,America/New_York,20,0,20,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-02-13,18:00:00,America/New_York,8,0,8,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-02-17,12:00:00,America/New_York,26,0,26,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-02-20,18:00:00,America/New_York,21,0,21,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-02-24,12:00:00,America/New_York,27,0,27,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-02-27,18:00:00,America/New_York,10,0,10,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-02,12:00:00,America/New_York,28,0,28,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-03,13:00:00,America/New_York,26,0,26,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-05,18:00:00,America/New_York,18,0,18,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2024-03-09,12:00:00,America/New_York,28,0,28,0,USD,0,0,0,0,0,0,0,0,0,0
